id;nome;foto;foto_content_type;dt_nascimento;cpf;ativo
1;holistic Travessa;../fake-data/blob/hipster.png;image/png;2022-05-19;"598.552606-78";NAO
2;alarm CSS;../fake-data/blob/hipster.png;image/png;2022-05-19;"460.747813-41";SIM
3;deposit Web;../fake-data/blob/hipster.png;image/png;2022-05-19;"579.173.084-87";NAO
4;Bangladesh connecting;../fake-data/blob/hipster.png;image/png;2022-05-18;"065240.15403";SIM
5;tolerance back;../fake-data/blob/hipster.png;image/png;2022-05-19;"459495846-31";SIM
6;Atum;../fake-data/blob/hipster.png;image/png;2022-05-19;"371.376.693-40";SIM
7;Manager bus deploy;../fake-data/blob/hipster.png;image/png;2022-05-19;"10039654895";SIM
8;Infrastructure auxiliary programming;../fake-data/blob/hipster.png;image/png;2022-05-19;"107.963.542-32";SIM
9;Congelado;../fake-data/blob/hipster.png;image/png;2022-05-19;"518320705-90";SIM
10;Somália SSL Madeira;../fake-data/blob/hipster.png;image/png;2022-05-19;"170.974.72503";SIM
